country,equity,bond
Canada,17,11
Australia,18,13
U.K.,20,15
Denmark,20,12
U.S.,20,10
Switzerland,20,8
Netherlands,21,9
Spain,22,12
Ireland,22,13
Belgium,23,12
South Africa,23,11
Sweden,23,13
France,23,14
Italy,29,14
Japan,30,21
Germany,32,16
