PERMNO,date,TICKER,RET,RETX
10107,01/31/2007,MSFT,0.033490,0.033490
10107,02/28/2007,MSFT,-0.083927,-0.087168
10107,03/30/2007,MSFT,-0.010650,-0.010650
10107,04/30/2007,MSFT,0.074273,0.074273
10107,05/31/2007,MSFT,0.028393,0.025053
10107,06/29/2007,MSFT,-0.039756,-0.039756
10107,07/31/2007,MSFT,-0.016288,-0.016288
10107,08/31/2007,MSFT,-0.005519,-0.008969
10107,09/28/2007,MSFT,0.025409,0.025409
10107,10/31/2007,MSFT,0.249491,0.249491
10107,11/30/2007,MSFT,-0.084216,-0.087205
10107,12/31/2007,MSFT,0.059524,0.059524
10107,01/31/2008,MSFT,-0.084270,-0.084270
10107,02/29/2008,MSFT,-0.162273,-0.165647
10107,03/31/2008,MSFT,0.043386,0.043386
10107,04/30/2008,MSFT,0.004933,0.004933
10107,05/30/2008,MSFT,-0.003156,-0.007013
10107,06/30/2008,MSFT,-0.028602,-0.028602
10107,07/31/2008,MSFT,-0.065067,-0.065067
10107,08/29/2008,MSFT,0.065319,0.061042
10107,09/30/2008,MSFT,-0.021986,-0.021986
10107,10/31/2008,MSFT,-0.163357,-0.163357
10107,11/28/2008,MSFT,-0.088670,-0.094492
10107,12/31/2008,MSFT,-0.038576,-0.038576
10107,01/30/2009,MSFT,-0.120370,-0.120370
10107,02/27/2009,MSFT,-0.047953,-0.055556
10107,03/31/2009,MSFT,0.137461,0.137461
10107,04/30/2009,MSFT,0.102885,0.102885
10107,05/29/2009,MSFT,0.037512,0.031096
10107,06/30/2009,MSFT,0.137865,0.137865
10107,07/31/2009,MSFT,-0.010517,-0.010517
10107,08/31/2009,MSFT,0.053571,0.048044
10107,09/30/2009,MSFT,0.043408,0.043408
10107,10/30/2009,MSFT,0.078149,0.078149
10107,11/30/2009,MSFT,0.065272,0.060584
10107,12/31/2009,MSFT,0.036382,0.036382
10107,01/29/2010,MSFT,-0.075459,-0.075459
10107,02/26/2010,MSFT,0.022001,0.017388
10107,03/31/2010,MSFT,0.021538,0.021538
10107,04/30/2010,MSFT,0.042595,0.042595
10107,05/28/2010,MSFT,-0.150811,-0.155068
10107,06/30/2010,MSFT,-0.108140,-0.108140
10107,07/30/2010,MSFT,0.121686,0.121686
10107,08/31/2010,MSFT,-0.085819,-0.090856
10107,09/30/2010,MSFT,0.043682,0.043682
10107,10/29/2010,MSFT,0.088812,0.088812
10107,11/30/2010,MSFT,-0.046784,-0.052785
10107,12/31/2010,MSFT,0.105018,0.105018
10107,01/31/2011,MSFT,-0.006628,-0.006628
10107,02/28/2011,MSFT,-0.035528,-0.041298
10107,03/31/2011,MSFT,-0.044771,-0.044771
