country,real,nominal
Belgium,2.5,8.2
Italy,2.7,12
Germany,3.6,9.7
Spain,3.6,10
France,3.8,12.1
Japan,4.5,12.5
Denmark,4.6,8.9
Ireland,4.8,9.5
Switzerland,5,7.6
UK,5.8,10.1
Netherland,5.8,9
Canada,6.4,9.7
US,6.7,10.1
South Africa,6.8,12
Australia,7.5,11.9
Sweden,7.6,11.6
